questions,answers
hi,Hello
hello,helu
yo,heluu
good bye,Goodbye
what is your name?,Jarvis
hii,hello how are you?
fine,good to here
What you doing, You can ask me a questions
how can you help me?,"I am chatbot, I can provide you with information"
Hello,Hi
Hi,Hello
Hey,Hi
Greetings,Hi
Hey There,Hey
"Hi, How is it going?",Good
"Hey, How is it going?",Fine
Howdy,Hey
Whatsup,Nothing much
How are you doing?,Good
Nice to meet you.,Thank you
How do you do?,I'm doing well.
"Hi, nice to meet you.",Thank you. You too.
Bye,C U
C U,Bye
Tata,Bye
Good Morning,Good Morning
Good Afternoon,Good Afternoon
Good Evening,Good Evening
Good Day,Good Day
What's up?,Not much
asking about the control measure for aphid infestation in mustard crops,suggested him to spray rogor@2ml/lit.at evening time.
asking about the control measure of flower drop problem in his coconut plant,"suggested him to apply fertilizer in recommended dose like urea-600gm,ssp-1kg,mop-700gm,borax-25gm twice in a year(march/april and september/october)followed by trench method and also suggested him to spray planofix@1teaspoonful per20-25 liter of water."
asking about source of early ahu rice variety,"suggested to take early ahu rice variety from atic,jorhat,aau campus through parcel or direct taking."
asking that he has not got proper friut from his coconut plant,"suggested him to aplly recommended fertilizer dose-urea@1.5 kg,ssp@2.5kg,mop@1.75 kg,borax@25 gm./plant/year in trench method."
asking about training for preparation of biomanure,"suggested to approach district agricultural officer  or atic,jorhat,ph (0376)2310240"
asking about treatment of low production of milk in cow,"suggested to provide mineral mixture like ranmix total, milkmin, gwala etc at recommanded dose along with feed.also, suggested to feed high protienous green fodder like cowpea, berseem, lucern etc."
asking about the premature fruit dropping of coconut,suggested to apply bordeaux mixture. apply borax @ 50 gm/plant per year along with urea & ssp.
asking  about  preservatives  of  tomato squash,suggested  preservatives  are: 1. benjoic acid &  2.  sulphar  dioxide . these chemicals re used to preserve for severel weeks.
asking about a pre emergence weedicide for rice,suggested herbicide- butachlor ( machete ) which is a  pre-emergence weedicide.
asking about the control measures for damping off infestation on biter gourd crops,suggested to apply dithane m- 45 @ 2-3ml/litre of water and also to check irrigation water supply in the field.
asking about culture of chitala along with carps,"suggested that he should go for the single species culture in one pond or he can culture some other species along with chitala, but in the second case, size of other species should be larger than chitala ."
asking about the suitable varieties for transplanted early ahu crops,"suggested suitable early ahu varieties are as saket-4, ir-50, govind, ir-36, cauvery, krishna, jaya, ir-8, luit, kopilee."
asking about the fym or compost requirement in blackgram cropsbigha,"suggested fym or compost requirement for blackgram crops as 6 quintql/bigha, this not only adds fertility but also improves soil structures."
asking about availibility of quail  birds for commercial purpose,"suggested to contact with  central agricultural university , mizoram for availibility of quail  birds"
asking about the control measures to be taken on bacterial wilt in brinjal crops,suggested to apply 100 ppm agromycine or streptomycine twice in a week and also to avoid water stagnation in the field.
asking about an ngo which is doing watershed project,suggested to contact deshbandhu club which is situated in cachar district
asking about the how to take control measures of flower and fruit dropping on aonla fruits trees,suggested to either spray planofix @ 1ml/4litre of water or apply borax @ 200 g/plant at the base of the tree by making ring .
asking about with what chemical seed treatment of maize should be done against seed borne  diseases attack,suggested that the seeds of maize should be treated with  bavistin @ 2 g/ kg of seeds or captaf @ 2- 2.5 g /kg of seeds before or after sowing.
asking about precautionary measure for preventing disease of fish,suggested to apply lime @ 1000 kg/ hac/yr. one third of the required dose is to be applied  at the time of pond preparation & the remaining portion is to be applied in equal monthly installment. he is also suggested to maintain the water quality properly.
asking about the remedial measures for fruit droping problem in chayote crops,suggested him to apply cow dung manure @7kg/plant at the base of the plant and spray planofix @2ml/litre of water at 15 days interval.
asking about the sowing season of pumkin crops,suggested him that pumkin can be grown in two season i.e january to april for summer hervest and september to november for spring hervest.
asking about the remedial measures of cutworm infestation in bittergourd crops,suggested him to apply malathion 5%dust @2 g/plant in case of soil application.also suggested him to keep the crops field weeds free to further arrest the pest infestation.
asking about fertilizer dose of coconut  7 years old ,"suggested to apply 1500 g urea, 2500 g ssp and 1750 g mop per plant along with  50 g borax."
asked about koleroga disease of arecanut,suggested to apply bordeaux mixture
asked about control of papaya leaf curl,suggested to apply rogor@1 ml/litre of water
asking about fertilizer dose and spacing of papaya,"suggested to apply 250 gm urea ,700 gm ssp and 200 gm mop and 5 kg fym.spacing 2mt*2mt."
asking for the fertiliser dose and its method of application of bottle gourd for a land of 1 bigha,"suggested to apply 8 kg of urea,46 kg of single super,24 kg of potash along with 300 kg of fym as basal dressing for a land of 1 bigha. 4 kg 0f urea to be top dressed at flowering stage and again 4 kg 0f urea to be top dressed at fruit set."
asked about control of beetle in ridge gourd,suggested to apply malathion 50 ec @1 ml/2.5 litres water + molasses @10 gm /litre water
asked about control of khaira disease in rice,suggested to apply znso4 (5 kg) and lime (2.5 kg) in 1000 litres water after 10 days of sowing
asking about age of castration in goat,suggested to castrat within 1-1and 1/2 months.
asking about some early variety of cauliflower,"early kuwari,pusa deepali"
asked for the fertilizer dose of sali rice semi dwarf var,suggested to apply 6kg urea 18 kg ssp and 4kg mop during final land preparation and 6 kg urea during flower initiation
asking about treatment of caugh in goat,suggested to adminster cflon powder @20gm thrice daily by mixing with gur.
asked about the suitable variety of brinjal for assam condition,"suggested to use following varieties, pusa purple kranti, pusa purple long, pusa purple cluster, borbengena etc"
asking for the control measure of fruit rot in coconut,suggested mr.majumder to apply bordeaux mixture @ 1% i.e 10ltrs. in trench system around the plant to get rid off this disease.
asking about the post flood variety of paddy,suggested to collect luit or kapili variety of paddy.
asked about te controlmeasure of cutworm in bottle gourd,suggested to incorporate malathion 5% dust in the soil around the plant
asking about the the remedial measures for browning of leaves tip in cucumber crops,suggested him to broadcast urea fertilizer@ 15 kg/bigha followed with light watering and loosening oe soil.
asking about the control measure of control measure of downy mildew in pumkin,suggested to apply indofil m 45 @ 2gms/liter at 12 days interval as folliar spray.
asking about treatment of bloatin cow,suggested to administer rumen bolus @2bolustwice daily for 3days.
asking about the fungal disease of pineapple,spray mancozeb@2gm/lt of water
asking for the fertiser dose of french bean,"suggested mr.hajam to apply 8kg of urea,33kg of ssp,14kg of mop along with 300kg of fym.this fertiliser dose suggested is for 1 bigha of land."
asking the control measure for bacterial wilt in potato,"suggested mr.koiri to drench the soil at the base of the plant with 100ppm of streptomycin. also suggested to apply a mixture of 1 gram asafoetida along with 5 gram of turmeric powder in 10 litres of water and to drench the soil 3 times at an interval of 15,30 and 45 days after transplanting."
asking the procedure of seed treatment in potato,"suggested mr.koiri to cut into pieces longitudinally,the bigger sized tubers having 2-3 eyes in each piece and then to dip the cut pieces in mancozeb @ 5 gram in 1 litre of water for about 10 mins. after that ,the seeds are to be spread thinly and dried under shade for 48 hours or should be covered with moist gunny bags for 2-3 days for suberization."
asking about the seed treatment of potato,suggested to treat the seeds in a 0.1% captaf for 24 hrs. and dry the srreds in shade.
asking about treatment of diarrhoea in cow,suggested to administer neblon powder @50gm twice daily for 5days.
asking that how to get crop loan from bank,suggested to contact with any nationalized bank and marketing and recovery officer located in his area
asking about the recommended fertilizer dose for cabbage cultivation,"suggested to apply urea@25kg/bigha,ssp@41kg/bigha,mop@13kg/bigha and fym@2 quintle/bigha"
asking about the control measure to control late blight disease infestation in potato,suggested to apply dithane m-45@2gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval for 3-4 times
asking for some good varieties of boro rice along with the time of planting which is best suited for his zone,"suggested the following: boro-1,boro-2,culture-1,krishna,ir-50,cauvery,banglami,bishnuprasad and jyotiprasad. these suggested varieties are best suited for his barak valley zone from where he belongs and all these varieties can be planted in december/january."
asking about the control measure of late blight of potato,suggested to apply indofil m-45@2.5ml/lit of water or ridomil mz-72@2ml/lit of water.
asking about the fertilizer dose of cauliflower,"advised to apply recommended fertilizer dose like:urea@23 kilogram/bigha,ssp@50kilogram/bigha,mop@11 kilogram/bigha,compost@2 quintle/bigha,and borax@25 gram"
asking the preventive measure against late blight disease of potato,advised to spray indofil m 45  @ 2.5 gram per lire of water at an interval of 7 days to get rid off this disease.
asking about the control measure of rotting becaouse of excess irrigation,suggested to apply blitox @ 2gm per lit of water followed by a spray of borax and molibdenum
asking about the control measure to control late blight disease of potato,advised  to apply dithane m-45@2.5 gram/litre of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.
asking for the control measure against leaf blight of coconut tree which is affecting his 5 numbers of coconut trees,suggested to spray bordeaux mixture @ 1% per plant and to remove the old and affected leaves.
asking about some recommended planting materials of tea,"advised to plant recommended planting materials like:(a)clone-tv1,tv18,tv20,tv21,tv22,tv23,tv24,pl26a and (b)seed-ts450,ts462,ts464,betajan jat."
asking the control measure of bacterial wilt in his potato cultivation,"suggested to apply streptomycin @ 1 gram per litre of water and to drench the soil around the plant with 1 gram of asafoetida along with 5 gram of turmeric powder by mixing in 10 litres of water.also advised that whenever he goes for his next cultivation of potato, to apply 12 gram of bleaching powder per hectare during final land preparation."
asking about the control measure to control late blight disease infestation in potato cultivation,suggested to apply dithane m-45@2.5 gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval
asking about treatment of babesiosis of cow,"suggested to administer berenil inj @1.6gram per 100kg body weight in 5ml distilled water  per 0.8gram of granule,by deep intramuscular route.repeat the dose after 1week."
asking about the method to ripen the tomato fruit before normal harvest,suggested to spray ethrel@500 ppm on the fruit about one month before normal harvest
asking the control measure against aphids and epilachna beetle which are destroying his potato cultivation,suggested to apply malathion 50 ec @ 1.5 litre in 500-600 litres of water to get control on these types of pests.
